CollectibleId,Title,Sport,Purchase Price (USD),Purchase Date MM-DD-YYYY,Player,Set,Year,Card Manufacturer,Card Number,Card Condition,Professional Grader,Grade,Certification Number,Exclude
e68da601-9699-3938-a697-0cdfd86940b0,2022-23 Bukayo Saka & Gabriel Martinelli Topps Jade Yellow Arsenal Card 33/50,Soccer,55.0,10-21-2023,Emile Smith-Rowe,2022 Panini Prizm,1994,Panini,33,MINT,,10,,Y
3d9925c0-f4a5-3186-a7de-1eeb83e33586,2021 CHRONICLES ORIGINS Soccer BUKAYO SAKA Gold /10 England!,Soccer,53.0,08-13-2023,,2020 Topps,2020,Panini,#5511,,,Ungraded,,
00a0de82-d0b5-3e16-a4d2-0c101543e7de,2019-20 Prizm Premier League Purple Breakaway Prizm 10/75 Declan Rice PSA 9 RC,Soccer,52.0,08-22-2023,,,,,,,,,,
0723ec4c-0ceb-4656-b878-3a48e2b69288,Bukayo Saka #9 Brilliance 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Bukayo Saka,2021-22 Panini Prizm Premier League,2022,,9,,,,,
3f1c83e0-9538-4f5f-8250-22463a125251,Bukayo Saka #9 Brilliance 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Bukayo Saka,2021-22 Panini Prizm Premier League,2022,,9,,,,,
d0d69934-27e0-4266-8e95-6f60a99530b1,Youssoufa Moukoko #194 Refractor 2021-22 Topps Chrome UEFA Champions League,Soccer,1.0,10-18-2023,Youssoufa Moukoko,2021-22 Topps Chrome UEFA Champions League,2022,,194,,,,,
d5c183f1-2c2f-40cb-8705-dd812fdb80e8,Bukayo Saka #9 Phenomenon 2022 Panini Prizm World Cup,Soccer,1.0,10-18-2023,Bukayo Saka,2022 Panini Prizm World Cup,2022,,9,,,,,
93bcea77-71e3-475a-a72a-731c537686b5,Bukayo Saka #106 Purple /70 2021 Panini Mosaic UEFA Euro 2020,Soccer,63.0,08-01-2021,Bukayo Saka,2021 Panini Mosaic UEFA Euro 2020,2022,,106,,,,,
88b6fcc4-1b8b-3a90-94e8-07dc4e509782,2020/21 Bukayo Saka /99 Topps Merlin Chrome Green Mojo Refractor Rookie RC,Soccer,50.0,11-07-2023,,2020 Topps Chrome,,,,,,,,
a2792c5a-29dc-3273-9439-9b9705c6e31b,2021-22 Topps Chrome Merlin Declan Rice Mojo Auto /99,Soccer,50.0,10-12-2023,,2021 Topps Chrome,,,,,,,,
193e6982-6722-4174-8812-34c975253c8e,Bukayo Saka #190 Tie Dye /49 2022-23 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Bukayo Saka,2022-23 Panini Prizm Premier League,2022,,190,,,,,
13cbdb17-dfe6-44dc-a607-65f7fd90b43c,Phil Foden #SM-PF Silver Patch 2022-23 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Phil Foden,2022-23 Panini Prizm Premier League,2022,,SM-PF,,,,,
ef5bd654-c131-3333-aee8-cf1090ec7f1f,2022-23 Select EPL ERLING HAALAND Orange Prizm /99,Soccer,50.0,08-11-2023,,,,,,,,,,
ba315e1b-2d11-38c4-95ef-fedb6cc3c833,2022 Select Soccer VICTOR OSIMHEN TERRACE Prizm Tie Dye /25 SSC NAPOLI!,Soccer,46.0,08-13-2023,,2020 Topps,2020,Panini,#5511,,,Ungraded,,
7efe1fdd-0a9e-4174-b4f1-b28ded5f9447,Declan Rice #BA-DR1 Silver Crystals /10 Autograph 2022 Leaf Metal,Soccer,1.0,10-18-2023,Declan Rice,2022 Leaf Metal,2022,,BA-DR1,,,,,
9705f26b-b6cf-421b-a6d3-8b527ed9b6aa,Pedri #25 Phenomenon 2022 Panini Prizm World Cup,Soccer,1.0,10-18-2023,Pedri,2022 Panini Prizm World Cup,2022,,25,,,,,
6c9e3387-bf99-4453-bf46-cfeb016fd0e7,Jude Bellingham #4 Assist on Bundesliga Debut PSA 10 2020 Topps Now Bundesliga,Soccer,1.0,10-18-2023,Jude Bellingham,2020 Topps Now Bundesliga,2020,,4,,PSA,10,,
6fa7a275-f1a8-31de-a983-be79a997d275,2021 Prizm EPL Soccer BUKAYO SAKA Aqua Purple Pulsar /49 /99 Lot2 Arsenal!,Soccer,41.88,08-13-2023,,2020 Topps,2020,Panini,#5511,,,Ungraded,,
ec7d17e0-01a4-473a-a366-e8d0147db434,Cristiano Ronaldo #36 2015-16 Panini Select Soccer,Soccer,1.0,10-18-2023,Cristiano Ronaldo,2015-16 Panini Select Soccer,2022,,36,,,,,
4d11753d-076c-41fe-a6a9-2a46f4b74acc,Gavi #51 Ray Wave /199 2021-22 Topps Finest UEFA Champions League,Soccer,1.0,10-18-2023,Gavi,2021-22 Topps Finest UEFA Champions League,2022,,51,,,,,
fc91c472-d1ca-446c-af16-d92504fee36a,Ronaldinho #449 2003-04 Panini La Liga Megacracks,Soccer,1.0,10-18-2023,Ronaldinho,2003-04 Panini La Liga Megacracks,2022,,449,,,,,
18906ead-e87c-4ee1-a2f5-7b71280563d5,Kylian Mbappe #51 2020 Panini Select UEFA Euro,Soccer,1.0,10-18-2023,Kylian Mbappe,2020 Panini Select UEFA Euro,2022,,51,,,,,
eb28cd0e-946f-42f2-a50b-6f4d29f62dca,Kylian Mbappe #51 2020 Panini Select UEFA Euro,Soccer,1.0,10-18-2023,Kylian Mbappe,2020 Panini Select UEFA Euro,2022,,51,,,,,
88fd3d79-9fbc-4517-9c14-534e6ed5f4cf,Eberechi Eze #S-EE Autograph 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Eberechi Eze,2021-22 Panini Prizm Premier League,2022,,S-EE,,,,,
90c3a99d-b91a-38db-843d-9621e8a7e321,2022/23 Panini Select SOCCER BUKAYO SAKA WHITE PRIZM MEZZANINE 01/20 #190 O7880,Soccer,37.63,10-18-2023,,,,,,,,,,
19e577d6-1009-3d9f-9051-a8f7821eec3f,2023 LEAF PRO SET PURE ACTION INK BRONZE SPECTRUM AUTO #AIPF1 PHIL FODEN #23/25,Soccer,30.0,05-04-2023,,2023 Leaf Pro Set Pure,,,,,,,,
69bafe1b-dc96-36b1-970f-ac4c35469867,2023 LEAF PRO SET PURE 1989 BRONZE SPECTRUM AUTO #89BS3 BUKAYO SAKA #15/50,Soccer,36.66,05-04-2023,,2023 Leaf Pro Set Pure,,,,,,,,
15d8532d-c838-3a78-8b9c-172f64ec1d3c,2022-23 Panini chronicles Illusions soccer Erling Haaland blue /49 Man City,Soccer,20.5,10-13-2023,,2022-23 Topps Finest,,,,,,,,
08c2b7ba-9458-4cd0-8901-124aa11eb819,Cristiano Ronaldo #HT-CR7 Historic Ticket 2019-20 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Cristiano Ronaldo,2019-20 Panini Chronicles Soccer,2022,,HT-CR7,,,,,
6c59c52c-32a0-4a0c-808c-2a4ea6ea2745,Cristiano Ronaldo #HT-CR7 Historic Ticket 2019-20 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Cristiano Ronaldo,2019-20 Panini Chronicles Soccer,2022,,HT-CR7,,,,,
978ebbe0-d41e-4d76-90e2-743059bde696,Thierry Henry #93 2017 Panini Nobility Soccer,Soccer,1.0,10-18-2023,Thierry Henry,2017 Panini Nobility Soccer,2022,,93,,,,,
f27840f4-dfed-3207-8883-abc85762b8ec,2021-22 Topps Chrome Merlin Europa Declan Rice bace Auto Autograph PACK FRESH,Soccer,32.0,10-17-2023,,2021 Topps Chrome,,,,,,,,
a2a1ed9e-e823-3ad0-9626-635ea273700b,Erling Haaland 2019-20 Panini FIFA 365 RC🔥SGC 9.5🔥,Soccer,31.29,10-16-2023,,2019 Panini Fifa,,,,,,,,
94c85be9-c261-4d2c-807a-ef0eb337f613,Jeremy Doku #22 2020-21 Topps Stadium Club Chrome UEFA UCL,Soccer,1.0,10-18-2023,Jeremy Doku,2020-21 Topps Stadium Club Chrome UEFA UCL,2022,,22,,,,,
b8ac949c-2729-436d-bbb6-1ad0d369f11e,Julian Alvarez #113 Orange /40 2022-23 Panini Obsidian Soccer,Soccer,1.0,10-18-2023,Julian Alvarez,2022-23 Panini Obsidian Soccer,2022,,113,,,,,
ef854c42-f855-3cc0-8b83-e4bf82e1b053,2021-22 Mosaic Premier League Ivan Toney Choice Red Gold Prizm Rookie RC #84/88,Soccer,30.0,11-06-2023,,,,,,,,,,
8d01283b-6810-4dfa-ab28-e9a2e30a76ab,Bukayo Saka #64 2019 Panini Tabloid Stickers,Soccer,1.0,10-18-2023,Bukayo Saka,2019 Panini Tabloid Stickers,2022,,64,,,,,
d155b62e-5640-49d8-9f95-15e28e6a511c,Thierry Henry #T1 Star Player 2001 Topps Premier Gold,Soccer,1.0,10-18-2023,Thierry Henry,2001 Topps Premier Gold,2022,,T1,,,,,
022871e5-4b93-48d2-b6bf-f4d5eeb61e02,Ronaldo #101 1998 Panini Calcio Serie A,Soccer,1.0,10-18-2023,Ronaldo,1998 Panini Calcio Serie A,2022,,101,,,,,
052d3804-a261-40fe-9193-bfba8946ad1a,Jude Bellingham #31 2020-21 Topps Chrome Sapphire Bundesliga,Soccer,1.0,10-18-2023,Jude Bellingham,2020-21 Topps Chrome Sapphire Bundesliga,2022,,31,,,,,
4035192b-d7bb-4371-b4a4-4182db779964,Jude Bellingham #31 2020-21 Topps Chrome Sapphire Bundesliga,Soccer,1.0,10-18-2023,Jude Bellingham,2020-21 Topps Chrome Sapphire Bundesliga,2022,,31,,,,,
9bc1706a-aba3-3155-8ff8-94c4134221da,2022-23 Topps Crystal Premium UCL Erling Haaland Black Ballers 05/50,Soccer,26.01,09-09-2023,,,,,,,,,,
cd1aabe6-4c22-34a8-b5ae-8d130a3189dc,2022-23 Panini Select EPL Erling Haaland PURPLE Prizm /135 Manchester City #65,Soccer,26.0,08-15-2023,,2022 Panini Select,,,,,,,,
b144ca31-04d2-4e95-af60-ec858a8a3be7,Declan Rice #179 Press Proof Purple 2019-20 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Declan Rice,2019-20 Panini Chronicles Soccer,2022,,179,,,,,
ffd45545-17ac-46ae-83dd-98ed393bdb93,Phil Foden #159 PSA 9 2019-20 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Phil Foden,2019-20 Panini Prizm Premier League,2019,,159,,PSA,9,,
1572026d-47d6-366d-947c-6e7574dbee92,Panini Tabloid Soccer Bukayo Saka Sticker,Soccer,25.0,07-10-2021,,,,,,,,,,
d4aba0e8-6952-429a-9eac-61ab1e566b2e,Ivan Toney #150 Green 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Ivan Toney,2021-22 Panini Prizm Premier League,2022,,150,,,,,
f8948236-1c6d-4b80-869b-632df4aa9727,Ivan Toney #150 Green 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Ivan Toney,2021-22 Panini Prizm Premier League,2022,,150,,,,,
09627a47-fd97-420f-88eb-7f6194570959,Reece James #CA-RJ Certified Autograph Autograph 2021-22 Topps UCL,Soccer,1.0,10-17-2023,Reece James,2021-22 Topps UEFA Champions League,2022,,CA-RJ,,,,,Y
f268d515-f999-3e4a-95ba-60c5e3de6af9,2020-21 CHRONICLES DONRUSS OPTIC EBERECHI EZE Rated Rookies /500 AUTO,Soccer,22.5,10-11-2023,,2020-21 Panini Chronicles,,,,,,,,
718b91af-53ac-4c72-aa0a-0435680c977b,Reece James #28 New Era 2022 Panini Prizm World Cup,Soccer,1.0,10-18-2023,Reece James,2022 Panini Prizm World Cup,2022,,28,,,,,
ebed5a15-5c04-44e6-8233-84e929fe234f,Phil Foden #135 /105 2021-22 Panini Obsidian Soccer,Soccer,1.0,10-18-2023,Phil Foden,2021-22 Panini Obsidian Soccer,2022,,135,,,,,
480e14c9-71ae-468c-9fcc-2c98dc275915,Erling Haaland #25 PSA 9 2020 Topps x Borussia Dortmund Curated Set,Soccer,1.0,10-17-2023,Erling Haaland,2020 Topps x Borussia Dortmund Curated Set,2020,,25,,PSA,9,,
f5f06f8f-8fbb-4fdb-b2e4-80fd9f190425,Bukayo Saka #152 Pink /99 2022-23 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Bukayo Saka,2022-23 Panini Prizm Premier League,2022,,152,,,,,
f7c27fc3-0aef-451c-a510-7794a2a80072,Bukayo Saka #152 Red Circles /49 2022-23 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Bukayo Saka,2022-23 Panini Prizm Premier League,2022,,152,,,,,
bb5da408-6e93-3221-903e-38fa3f40a7ce,2022 Leaf Vivid Soccer Striking Navy Blue #S-GJ1 Gabriel Jesus AUTO 2/5,Soccer,20.05,05-09-2023,,,,,,,,,,
8703aff2-fc7b-33cd-9a3e-b2dfcde31fa6,2023 JAMAL MUSIALA 45/50 TOPPS UEFA CHAMPIONS LEAGUE JADE,Soccer,20.0,11-04-2023,,,,,,,,,,
83b8e0b6-db3b-3510-8dec-21bb95a0667e,2022 CHRISTOPHER NKUNKU 52/80 AUTO TOPPS FINEST BUNDESLIGA WAVE AUTOGRAPHS,Soccer,20.0,11-04-2023,,,,,,,,,,
d38fc337-cfed-3ea2-a2f8-04063b95d638,2021 EBERECHI EZE 07/25 AUTO PANINI IMMACULATE COLLECTION MODERN MARKS,Soccer,20.0,11-04-2023,,,,,,,,,,
c1d0a2e2-4eca-4fe8-9e93-95d26c422cdd,Illan Meslier #196 Green 2020-21 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Illan Meslier,2020-21 Panini Prizm Premier League,2022,,196,,,,,
e3a6cf08-33f2-3bf4-9dba-a8adac0bbf3f,2022-23 Select Premier League BUKAYO SAKA Orange Prizm /75 Arsenal SP EPL #190,Soccer,19.95,10-11-2023,,2020 Topps Chrome,,,,,,,,
6addbe7e-e86f-4a0c-9cb3-c1bbdf1d0f9f,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
0391f1af-f452-4d58-b7a7-a59b20da3878,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
251fc30d-2fbb-480b-9ae4-0f106f35aa50,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
86e2b8d4-4b8f-413a-890c-9fdf3b3bd2e4,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
3fad7033-39c5-48e9-9d1b-caad92b223cc,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
6fbd111d-417b-4eff-a08a-9d07c9b646a1,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
8b6def70-e1cc-4282-ae73-03353a954e24,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
72f84d33-4a50-4ced-a153-9eb3f2c333b6,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
2d13094d-abf3-4952-aef1-b8f593ec3b31,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
e82ac6d1-ff7a-4590-a92d-2dcf10075084,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
7567d938-a001-45fb-ad29-29d8b16eba5c,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
ba5f0495-e920-4ae9-a8ee-9f43f0604792,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
99cf479c-b9b2-4cdd-b020-62565e569bd1,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
dab95ec5-00f7-4447-9087-4a4ea63f2dbd,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
09d91002-1dd2-4b6d-a19b-ba42e0efdd74,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
fad2c2b4-22c1-406a-8134-2b8c72ffd60f,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
0242ff84-ebaf-44e1-aa38-8ce540473738,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
0a2fbd43-a776-444b-bc31-eead17c7680d,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
8539cff4-ae78-4690-8043-7f95e96963d4,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
b50c5699-bbbd-4293-b736-136e8a1cdf7c,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
93ec5e03-2dfa-4786-9963-c58805b54e77,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
cf614841-a3bc-4934-9299-ccec3ec1fe24,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
d55b2021-30e5-4091-b18a-fd176568e58f,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
84dc1eb2-f41b-4544-9787-0f42406a7278,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,
c9d21812-1b25-49b4-b427-ea5a3fe73bb2,Lionel Messi #118 /22081 2022 Panini Instant Fifa World Cup,Soccer,1.0,10-17-2023,Lionel Messi,2022 Panini Instant Fifa World Cup,2022,,,,,,,Y
7caffe46-0943-407e-a723-8c2f706066e3,Erling Haaland #FS-EH Future Stars /75 PSA 9 2020-21 Topps Chrome UCL,Soccer,1.0,10-18-2023,Erling Haaland,2020-21 Topps Chrome UEFA Champions League,2020,,FS-EH,,PSA,9,,Y
7c391ee9-6d18-36e7-83d0-40034f68f0a7,2022-23 Panini Obsidian EPL KAORY MITOMA /65 Rookie RC Orange Vitreous Brighton,Soccer,19.38,09-08-2023,,2022-23 Panini Obsidian,,,,,,,,
4b6581c4-4d62-4be2-8ab6-b6c68b4324d3,Noni Madueke #A-NO Autograph 2021-22 Topps Merlin Chrome UEFA Champions League,Soccer,1.0,10-18-2023,Noni Madueke,2021-22 Topps Merlin Chrome UEFA Champions League,2022,,A-NO,,,,,
aaa8d6fd-9324-4f54-8d54-ff2242c1cf4d,Declan Rice #91 Orange /25 2021-22 Panini Obsidian Soccer,Soccer,1.0,10-18-2023,Declan Rice,2021-22 Panini Obsidian Soccer,2022,,91,,,,,
6c0b4b49-cd70-4be7-8cde-fd548f5f0022,Declan Rice #237 /340 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Declan Rice,2021-22 Panini Prizm Premier League,2022,,237,,,,,
e6b0a21e-ddf3-4cda-88b7-a1bf76a13959,Mesut Ozil #7 Purple /50 2014 Topps Premier Gold,Soccer,1.0,10-18-2023,Mesut Ozil,2014 Topps Premier Gold,2022,,7,,,,,
edcd08ba-199b-350c-94f5-4f5a2e4e32e1,2022-23 Panini Impeccable EPL Gabriel Martinelli Stainless Stars Arsenal 26/71,Soccer,17.5,10-22-2023,,,,,,,,,,
0cf1840d-d9a2-4f23-bcc3-fccada0ceb11,Gabriel Martinelli #104 XR Blue /99 2021-22 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Gabriel Martinelli,2021-22 Panini Chronicles Soccer,2022,,104,,,,,
a26d9e2a-e8be-472e-a73a-eef303f77dde,Declan Rice #63 Redemption 2021-22 Panini Prizm Premier League,Soccer,1.0,10-18-2023,Declan Rice,2021-22 Panini Prizm Premier League,2022,,63,,,,,
f53cc51b-88e4-4e5b-8727-25c0aa928c32,Gabriel Martinelli #104 XR 2021-22 Panini Chronicles Soccer,Soccer,1.0,10-18-2023,Gabriel Martinelli,2021-22 Panini Chronicles Soccer,2022,,104,,,,,
57b97f01-e8ac-36d4-a3c9-480e87572da5,2022-23 JARROD BOWEN 11/30 AUTO PANINI IMMACULATE COLLECTION PREMIER LEAGUE,Soccer,25.0,11-04-2023,,,,,,,,,,
